Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
PRION DISEASE	20/268	3.8791146135044775E-15	7.8992879402273E-14	0	0	13.07051452945881	433.7210985566478	NOTCH1;TUBB;TUBB4B;TUBB4A;TUBA4A;TUBB8;TUBA1C;TUBA3E;TUBB6;TUBA1B;TUBB2B;TUBA3D;TUBA1A;TUBB2A;TUBA3C;PIK3CA;TUBB3;DDIT3;CASP3;BAX
LIPID AND ATHEROSCLEROSIS	18/214	1.2615195492141762E-14	2.3548364918664625E-13	0	0	14.681184668989546	469.8547889583383	CXCL8;SRC;FOS;SOD2;CASP7;CYP2A6;RXRA;PIK3CA;DDIT3;FASN;CASP3;BCL2;CYP1A1;AKT1;BAX;JAK2;TP53;HRAS
PROSTATE CANCER	14/103	1.564096549639264E-14	2.695058670147655E-13	0	0	24.487304255507386	778.424048229853	PDGFRA;GSTP1;PTEN;EGFR;FOLH1;PIK3CA;CDK2;ERBB2;BCL2;E2F1;AKT1;TP53;HRAS;FGFR1
ALZHEIMER DISEASE	22/379	2.7040503021919695E-14	4.326480483507151E-13	0	0	10.09919261822376	315.51332569461954	TUBB;TUBB4B;TUBB4A;TUBA4A;TUBB8;TUBA1C;TUBA3E;TUBB6;CASP7;TUBA1B;TUBB2B;TUBA3D;TUBA1A;TUBB2A;TUBA3C;PIK3CA;TUBB3;DDIT3;FASN;CASP3;AKT1;HRAS
PARKINSON DISEASE	19/263	3.578204879234219E-14	5.343452619656434E-13	0	0	12.519651975275464	387.62507701333567	TUBB;TUBB4B;TUBB4A;TUBA4A;TUBB8;TUBA1C;TUBA3E;TUBB6;TUBA1B;TUBB2B;TUBA3D;TUBA1A;TUBB2A;TUBA3C;TUBB3;DDIT3;CASP3;BAX;TP53
HUNTINGTON DISEASE	20/303	4.013158398032693E-14	5.618421757245771E-13	0	0	11.43357766550828	352.68714248275256	BDNF;TUBB;TUBB4B;SOD2;TUBB4A;TUBA4A;TUBB8;TUBA1C;TUBA3E;TUBB6;TUBA1B;TUBB2B;TUBA3D;TUBA1A;TUBB2A;TUBA3C;TUBB3;CASP3;BAX;TP53
AMYOTROPHIC LATERAL SCLEROSIS	21/362	1.113604543048787E-13	1.4673377508407546E-12	0	0	10.01656891495601	298.75422571299384	TUBB;NRG1;TUBB4B;TUBB4A;TUBA4A;TUBB8;TUBA1C;TUBA3E;TUBB6;TUBA1B;TUBB2B;TUBA3D;TUBA1A;TUBB2A;TUBA3C;TUBB3;DDIT3;CASP3;BCL2;BAX;TP53
BLADDER CANCER	10/40	1.5532312275416127E-13	1.9329099720517846E-12	0	0	50.45547073791349	1488.0967601447642	CXCL8;SRC;CDKN2A;MMP2;ERBB2;E2F1;HRAS;TP53;EGFR;VEGFA
PHAGOSOME	15/151	1.9730881156298025E-13	2.3261670415846093E-12	0	0	17.26453081232493	505.056693532613	TUBB;TUBB4B;TUBB4A;TUBA4A;TUBB8;TUBA1C;TUBA3E;TUBB6;TUBA1B;TUBB2B;TUBA3D;TUBA1A;TUBB2A;TUBA3C;TUBB3
PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES	23/469	2.3272106167131957E-13	2.606475890718779E-12	0	0	8.484057915938283	246.79221619905442	BDNF;TUBB;TUBB4B;TUBB4A;TUBA4A;TUBB8;TUBA1C;TUBA3E;TUBB6;CASP7;TUBA1B;TUBB2B;TUBA3D;TUBA1A;TUBB2A;TUBA3C;TUBB3;DDIT3;FASN;CASP3;BCL2;BAX;HRAS
